title_spanish,tconst,actors,director,writter
El problema con Jon Stewart,tt15084142,"nm0829537,nm2225744,nm0000996",,nm4176288
Becoming You,tt13007964,"nm1469236,nm7237266,nm10434275",,
Boys State,tt11095742,"nm11815747,nm11800825,nm11800824",nm1402872,
¡Hola Jack! Un mundo mejor,tt14676680,"nm14509596,nm1442113,nm8679312",,nm1442113
El dilema de Lincoln,tt11464826,"nm7418309,nm7366289,nm11340736",nm2341611,nm7364327
Nuestra pequeña granja,tt20218952,"nm0376602,nm2181128,nm0601132",,nm2777910
Pelea antes de Navidad,tt0107688,"nm0000384,nm0001697,nm0001573",nm0783139,nm0000318
El mundo contra Boris Becker,tt0446029,"nm0148418,nm0001085,nm0447695",nm0942367,nm0045209
Snoopy en el espacio,tt5232792,"nm0662504,nm0827170,nm3069420",,nm0000740
Amber Brown,tt15514598,"nm9069699,nm12936208,nm1794688",,nm0001372
El cielo está en cualquier lugar,tt2201261,"nm4272103,nm3794287,nm0427728",nm2528451,nm2406226
Central Park,tt8129006,"nm4270695,nm4377526,nm1265802",,nm0098908
Con el pie derecho,tt20414738,"nm13684165,nm1447142,nm3298038",,nm3278761
La magia continúa con Mariah Carey,tt15829598,"nm0001014,nm0004938,nm6433002",nm0994538,
Mi música country,tt12916182,"nm11312187,nm7173053,nm5651666",,
Snoopy presenta: La única e inigualable Marcie,tt27865284,"nm6974795,nm13174877,nm10544030",nm0675442,nm0776433
Oprah habla sobre el COVID-19,tt12080818,"nm0001856,nm0252961,nm2731877",,
Harriet la espía,tt0116493,"nm0005502,nm0808376,nm0156345",nm0400486,nm0280447
Bruce Springsteen's Letter to You,tt13093506,"nm0084500,nm0530460,nm0778393",nm0956890,nm0819803
Somos valientes,tt13655266,"nm0166911,nm0166921,nm0005028",,nm0166911
Carta a...,tt0113228,"nm0000527,nm0000493,nm0000268",nm0222043,nm0425756
Girls State,tt30259532,"nm15804773,nm15804767,nm15804768",nm1402872,
La isla de las formas,tt10225276,"nm2131030,nm11225107,nm11262431",,nm0674968
El Niño Lobo y la fábrica del Todo,tt15389676,"nm9987228,nm3053337,nm4295839",,nm12919350
Pequeñas historias zen,tt13135714,"nm0796732,nm8006304,nm10247516",,nm1048706
La vida según Ella,tt0079470,"nm0001037,nm0000092,nm0000416",nm0001402,nm0001037
El club de lectura de Oprah,tt0137523,"nm0001570,nm0000093,nm0001533",nm0000399,nm0657333
Cachorritos: buscando un hogar,tt15389998,"nm2289561,nm6394823,nm10974500",,nm9235311
Louis Armstrong: Black & Blues,tt14447458,"nm0001918,nm0006752,nm14133787",nm2210594,
¿Quién es Carlitos?,tt14784858,"nm9549656,nm1040874,nm8933807",nm0094397,nm0094397
Sidney Poitier,tt16977750,"nm0001627,nm0000896,nm0000932",nm0399737,nm1380959
Amigos Sago Mini,tt19770764,"nm13859750,nm11012649,nm11717841",,nm7140008
Slumberkins: amistades adorables,tt21942724,"nm2260986,nm0227771,nm1566555",,nm7121510
Helpsters,tt10515488,"nm8954363,nm0194829,nm0732896",,nm1487505
Pretzel y sus cachorros,tt17524490,"nm1840659,nm7163383,nm8198457",,nm1145513
"¡No interrumpas, gallinita!",tt21942798,"nm8718123,nm2951044,nm8853792",,nm1439545
Earthsounds,tt13276218,nm1089991,,
Las últimas mujeres del mar,tt14093994,,nm11451540,
Pato y Ganso,tt7999864,"nm13891377,nm11922669,nm8511744",,nm0939669
Snoopy presenta: Por los viejos tiempos,tt1389096,"nm0000199,nm0000686,nm0000273",nm0001770,nm1202838
Super sorda,tt16432198,"nm0781899,nm13282867,nm0000317",,nm13282867
Pinecone y el poni,tt18830366,"nm8590992,nm9348335,nm1047709",,nm4357903
"Llegó de nuevo la Navidad, Charlie Brown",tt0059026,"nm0022817,nm0233358,nm0238741",nm0006837,nm0776433
Doug se desconecta,tt11690802,"nm8912068,nm7855079,nm1082823",,nm2832568
Lazos,tt0417889,"nm1661923,nm1457062,nm0246451",nm1664086,nm1662755
Los cuentos de Navidad de Charlie Brown,tt0059026,"nm0022817,nm0233358,nm0238741",nm0006837,nm0776433
"Es San Valentín, Charlie Brown",tt2452042,"nm1661252,nm6843974,nm5975858",nm0553942,nm0776441
"Felíz año nuevo, Charlie Brown!",tt2461132,"nm0451321,nm2138653,nm0045393",nm0007134,nm4904771
Padrazos,tt10883124,"nm0397171,nm0000165,nm0031976",nm0397171,
